id,datetime,sentiment,text,lctext
1212175360093220000,1/01/2020 0:55,0.391666667,"One of my greatest honors was to have gotten CHOICE approved for our great Veterans. Others have tried for decades, and failed! https://t.co/NcVbbnrT5O","one of my greatest honors was to have gotten choice approved for our great veterans. others have tried for decades, and failed! https://t.co/ncvbbnrt5o"
1212177432452690000,1/01/2020 1:03,0,Thank you to the @dcexaminer Washington Examiner. The list is growing every day! https://t.co/jAOZ0CPYO4,thank you to the @dcexaminer washington examiner. the list is growing every day! https://t.co/jaoz0cpyo4
1212180752936370000,1/01/2020 1:16,1,Thank you Steve. The greatest Witch Hunt in U.S. history! https://t.co/I3bSNVp6gC,thank you steve. the greatest witch hunt in u.s. history! https://t.co/i3bsnvp6gc
1212182267113680000,1/01/2020 1:22,0.35625,Our fantastic First Lady! https://t.co/6iswto4WDI,our fantastic first lady! https://t.co/6iswto4wdi
1212184310389850000,1/01/2020 1:30,0.485227273,HAPPY NEW YEAR!,happy new year!
1212209862094010000,1/01/2020 3:12,0,https://t.co/EVAEYD1AgV,https://t.co/evaeyd1agv
1212547186506050000,2/01/2020 1:32,0.438888889,"Best equipment &amp, finest military in the World. On site quickly! https://t.co/cDUtqFLLYB","best equipment &amp, finest military in the world. on site quickly! https://t.co/cdutqfllyb"
1212548289515650000,2/01/2020 1:36,-0.369318182,"Too bad, Corey would have won! He (and I) loves New Hampshire. https://t.co/d2e1NUkDwR","too bad, corey would have won! he (and i) loves new hampshire. https://t.co/d2e1nukdwr"
1212550610429580000,2/01/2020 1:46,0,"Canâ€™t believe @ATT keeps the management after yet another @CNN ratings dive. Nobody watching, NO CREDIBILITY! Maybe they should make changes at AT&amp,T? https://t.co/jdCLuNWEEQ","canâ€™t believe @att keeps the management after yet another @cnn ratings dive. nobody watching, no credibility! maybe they should make changes at at&amp,t? https://t.co/jdclunweeq"
1212552402798350000,2/01/2020 1:53,1,Great job! https://t.co/qNUVbEdMz6,great job! https://t.co/qnuvbedmz6
1212565864584760000,2/01/2020 2:46,0,They donâ€™t know how to do that! https://t.co/1Vg1O9yJHj,they donâ€™t know how to do that! https://t.co/1vg1o9yjhj
1212730938683200000,2/01/2020 13:42,0.212121212,"Sohrab Ahmari, New York Post â€œThe Trump Campaign raised $10 million in the two days following the impeachment (Scam) vote. It seems the Democrats have shot themselves in the foot in one more way. They set up a process they know is not going to lead to the Presidents removal, &amp,...","sohrab ahmari, new york post â€œthe trump campaign raised $10 million in the two days following the impeachment (scam) vote. it seems the democrats have shot themselves in the foot in one more way. they set up a process they know is not going to lead to the presidents removal, &amp,..."
1212730940197350000,2/01/2020 13:42,-0.1625,"....itâ€™s alienating independents. This President is being persecuted over three years with one investigation after another, and that really plays to his base.â€ @FoxNews  @cvpayne  Their partisan Witch Hunt is hurting our Country do badly, &amp, only bringing more division than ever!","....itâ€™s alienating independents. this president is being persecuted over three years with one investigation after another, and that really plays to his base.â€ @foxnews  @cvpayne  their partisan witch hunt is hurting our country do badly, &amp, only bringing more division than ever!"
1212734794762780000,2/01/2020 13:58,-0.324365079,"A lot of very good people were taken down by a small group of Dirty (Filthy) Cops, politicians, government officials, and an investigation that was illegally started &amp, that SPIED on my campaign. The Witch Hunt is sputtering badly, but still going on (Ukraine Hoax!). If this....","a lot of very good people were taken down by a small group of dirty (filthy) cops, politicians, government officials, and an investigation that was illegally started &amp, that spied on my campaign. the witch hunt is sputtering badly, but still going on (ukraine hoax!). if this...."
1212734798365620000,2/01/2020 13:58,0.046428571,"....had happened to a Presidential candidate, or President, who was a Democrat, everybody involved would long ago be in jail for treason (and more), and it would be considered the CRIME OF THE CENTURY, far bigger and more sinister than Watergate!","....had happened to a presidential candidate, or president, who was a democrat, everybody involved would long ago be in jail for treason (and more), and it would be considered the crime of the century, far bigger and more sinister than watergate!"
1212924762827040000,3/01/2020 2:32,0,https://t.co/VXeKiVzpTf,https://t.co/vxekivzptf
1213078681750570000,3/01/2020 12:44,0,"Iran never won a war, but never lost a negotiation!","iran never won a war, but never lost a negotiation!"
1213096351296290000,3/01/2020 13:54,0.036160714,"General Qassem Soleimani has killed or badly wounded thousands of Americans over an extended period of time, and was plotting to kill many more...but got caught! He was directly and indirectly responsible for the death of millions of people, including the recent large number....","general qassem soleimani has killed or badly wounded thousands of americans over an extended period of time, and was plotting to kill many more...but got caught! he was directly and indirectly responsible for the death of millions of people, including the recent large number...."
1213096352072290000,3/01/2020 13:54,-0.003571429,"....of PROTESTERS killed in Iran itself. While Iran will never be able to properly admit it, Soleimani was both hated and feared within the country. They are not nearly as saddened as the leaders will let the outside world believe. He should have been taken out many years ago!","....of protesters killed in iran itself. while iran will never be able to properly admit it, soleimani was both hated and feared within the country. they are not nearly as saddened as the leaders will let the outside world believe. he should have been taken out many years ago!"
1213115183507390000,3/01/2020 15:09,0.3,"The United States has paid Iraq Billions of Dollars a year, for many years. That is on top of all else we have done for them. The people of Iraq donâ€™t want to be dominated &amp, controlled by Iran, but ultimately, that is their choice. Over the last 15 years, Iran has gained more....","the united states has paid iraq billions of dollars a year, for many years. that is on top of all else we have done for them. the people of iraq donâ€™t want to be dominated &amp, controlled by iran, but ultimately, that is their choice. over the last 15 years, iran has gained more...."
1213115187160630000,3/01/2020 15:09,0,"....and more control over Iraq, and the people of Iraq are not happy with that. It will never end well!","....and more control over iraq, and the people of iraq are not happy with that. it will never end well!"
1213119187075430000,3/01/2020 15:25,1,"This is a great book, a must read! https://t.co/bwpNVi5hpY","this is a great book, a must read! https://t.co/bwpnvi5hpy"
