id,datetime,sentiment,text,tokens...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213145418944660000,3/01/2020 5:09,0.05,"....different places that he thought were wasteful, and the career staff, as they always do, pushed back, and nade s million excuses as to why they could not possibly stop spending U.S.taxpayer money. There was a back &amp, forth over the legal arguments, &amp, the W.H. decision was....q",different,places,that,he,thought,were,wasteful,and,the,career,staff,as,they,always,do,pushed,back,and,nade,s,million,excuses,as,to,why,they,could,not,possibly,stop,spending,ustaxpayer,money,there,was,a,back,&,forth,over,the,legal,arguments,&,the,wh,decision,wasq,,,,,,,,,,,
1213145418093220000,3/01/2020 5:09,0.096590909,"Christopher Bedford, The Federalist Senior Editor. â€œThere is NOTHING NEW in these Emails at all thatâ€™s been discovered. Itâ€™s exactly what we knew before, which is that the White House &amp, political figures wanted to cut off aid, Trump wanted to question aid to a number of....",christopher,bedford,the,federalist,senior,editor,there,is,nothing,new,in,these,emails,at,all,thats,been,discovered,its,exactly,what,we,knew,before,which,is,that,the,white,house,&,political,figures,wanted,to,cut,off,aid,trump,wanted,to,question,aid,to,a,number,of,,,,,,,,,,,,
1213145424795700000,3/01/2020 5:09,-0.066666667,"....followed, and then it was withdrawn. The Democrats argument for impeachment has not gotten stronger over the last few weeks. As Senator Josh Hawley just said, heâ€™s going to enter a Motion to Dismiss the Impeachment Trial because itâ€™s never actually been brought to trial.â€",followed,and,then,it,was,withdrawn,the,democrats,argument,for,impeachment,has,not,gotten,stronger,over,the,last,few,weeks,as,senator,josh,hawley,just,said,hes,going,to,enter,a,motion,to,dismiss,the,impeachment,trial,because,its,never,actually,been,brought,to,trial,,,,,,,,,,,,,,
1213078681750570000,3/01/2020 12:44,0,"Iran never won a war, but never lost a negotiation!",iran,never,won,a,war,but,never,lost,a,negotiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213096352072290000,3/01/2020 13:54,-0.003571429,"....of PROTESTERS killed in Iran itself. While Iran will never be able to properly admit it, Soleimani was both hated and feared within the country. They are not nearly as saddened as the leaders will let the outside world believe. He should have been taken out many years ago!",of,protesters,killed,in,iran,itself,while,iran,will,never,be,able,to,properly,admit,it,soleimani,was,both,hated,and,feared,within,the,country,they,are,not,nearly,as,saddened,as,the,leaders,will,let,the,outside,world,believe,he,should,have,been,taken,out,many,years,ago,,,,,,,,,,
1213096351296290000,3/01/2020 13:54,0.036160714,"General Qassem Soleimani has killed or badly wounded thousands of Americans over an extended period of time, and was plotting to kill many more...but got caught! He was directly and indirectly responsible for the death of millions of people, including the recent large number....",general,qassem,soleimani,has,killed,or,badly,wounded,thousands,of,americans,over,an,extended,period,of,time,and,was,plotting,to,kill,many,morebut,got,caught,he,was,directly,and,indirectly,responsible,for,the,death,of,millions,of,people,including,the,recent,large,number,,,,,,,,,,,,,,,
1213115183507390000,3/01/2020 15:09,0.3,"The United States has paid Iraq Billions of Dollars a year, for many years. That is on top of all else we have done for them. The people of Iraq donâ€™t want to be dominated &amp, controlled by Iran, but ultimately, that is their choice. Over the last 15 years, Iran has gained more....",the,united,states,has,paid,iraq,billions,of,dollars,a,year,for,many,years,that,is,on,top,of,all,else,we,have,done,for,them,the,people,of,iraq,dont,want,to,be,dominated,&,controlled,by,iran,but,ultimately,that,is,their,choice,over,the,last,15,years,iran,has,gained,more,,,,,
1213115187160630000,3/01/2020 15:09,0,"....and more control over Iraq, and the people of Iraq are not happy with that. It will never end well!",and,more,control,over,iraq,and,the,people,of,iraq,are,not,happy,with,that,it,will,never,end,well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213119187075430000,3/01/2020 15:25,1,"This is a great book, a must read! https://t.co/bwpNVi5hpY",this,is,a,great,book,a,must,read,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213149806488690000,3/01/2020 17:27,0.096590909,"Christopher Bedford, The Federalist Senior Editor. â€œThere is NOTHING NEW in these Emails at all thatâ€™s been discovered. Itâ€™s exactly what we knew before, which is that the White House &amp, political figures wanted to cut off aid, Trump wanted to question aid to a number of....",christopher,bedford,the,federalist,senior,editor,there,is,nothing,new,in,these,emails,at,all,thats,been,discovered,its,exactly,what,we,knew,before,which,is,that,the,white,house,&,political,figures,wanted,to,cut,off,aid,trump,wanted,to,question,aid,to,a,number,of,,,,,,,,,,,,
