id,word,total_count,total_frequency,trump_count,trump_frequency
513,new,100,0.00074079,100,0.00074079
1347,win,99,0.000733382,99,0.000733382
396,hard,98,0.000725974,98,0.000725974
41,after,97,0.000718566,97,0.000718566
794,In,96,0.000711159,96,0.000711159
283,last,95,0.000703751,95,0.000703751
1610,bad,95,0.000703751,95,0.000703751
832,working,94,0.000696343,94,0.000696343
1128,America,94,0.000696343,94,0.000696343
190,far,93,0.000688935,93,0.000688935
305,these,93,0.000688935,93,0.000688935
497,ever,93,0.000688935,93,0.000688935
1094,said,93,0.000688935,93,0.000688935
91,know,92,0.000681527,92,0.000681527
141,down,92,0.000681527,92,0.000681527
1659,via,92,0.000681527,92,0.000681527
1712,how,92,0.000681527,92,0.000681527
1058,Our,91,0.000674119,91,0.000674119
748,go,89,0.000659303,89,0.000659303
1968,Strong,89,0.000659303,89,0.000659303
394,you!,88,0.000651895,88,0.000651895
726,her,88,0.000651895,88,0.000651895
3218,Amendment.,88,0.000651895,88,0.000651895
805,Law,86,0.00063708,86,0.00063708
317,political,85,0.000629672,85,0.000629672
577,help,85,0.000629672,85,0.000629672
383,made,84,0.000622264,84,0.000622264
565,see,84,0.000622264,84,0.000622264
177,long,82,0.000607448,82,0.000607448
1328,Mike,82,0.000607448,82,0.000607448
929,Do,81,0.00060004,81,0.00060004
1958,incredible,81,0.00060004,81,0.00060004
114,really,80,0.000592632,80,0.000592632
2291,No,80,0.000592632,80,0.000592632
316,House,79,0.000585224,79,0.000585224
582,totally,79,0.000585224,79,0.000585224
903,She,79,0.000585224,79,0.000585224
1138,didnâ€™t,79,0.000585224,79,0.000585224
71,two,78,0.000577816,78,0.000577816
471,important,78,0.000577816,78,0.000577816
715,Republicans,78,0.000577816,78,0.000577816
828,â€“,78,0.000577816,78,0.000577816
576,Dems,77,0.000570408,77,0.000570408
692,doesnâ€™t,77,0.000570408,77,0.000570408
958,Now,77,0.000570408,77,0.000570408
473,those,75,0.000555593,75,0.000555593
697,corrupt,75,0.000555593,75,0.000555593
4215,Vote,74,0.000548185,74,0.000548185
653,"Military,",73,0.000540777,73,0.000540777
930,Nothing,73,0.000540777,73,0.000540777
2171,need,73,0.000540777,73,0.000540777
1348,take,72,0.000533369,72,0.000533369
1758,election,72,0.000533369,72,0.000533369
315,White,71,0.000525961,71,0.000525961
449,nothing,71,0.000525961,71,0.000525961
607,run,71,0.000525961,71,0.000525961
1173,better,71,0.000525961,71,0.000525961
227,including,70,0.000518553,70,0.000518553
1706,look,70,0.000518553,70,0.000518553
375,Impeachment,69,0.000511145,69,0.000511145
402,Military,69,0.000511145,69,0.000511145
411,money,68,0.000503737,68,0.000503737
968,total,68,0.000503737,68,0.000503737
1560,Supreme,68,0.000503737,68,0.000503737
3621,votes,68,0.000503737,68,0.000503737
2112,"Vets,",67,0.000496329,67,0.000496329
1414,put,66,0.000488921,66,0.000488921
731,she,65,0.000481514,65,0.000481514
1042,Congratulations,65,0.000481514,65,0.000481514
1988,where,65,0.000481514,65,0.000481514
523,Congress,64,0.000474106,64,0.000474106
559,before,64,0.000474106,64,0.000474106
952,things,64,0.000474106,64,0.000474106
2993,support,64,0.000474106,64,0.000474106
5546,Pennsylvania,64,0.000474106,64,0.000474106
630,getting,63,0.000466698,63,0.000466698
798,coming,63,0.000466698,63,0.000466698
1320,Will,63,0.000466698,63,0.000466698
1327,Mini,63,0.000466698,63,0.000466698
1353,protect,63,0.000466698,63,0.000466698
7597,Lamestream,63,0.000466698,63,0.000466698
1925,numbers,62,0.00045929,62,0.00045929
1100,John,61,0.000451882,61,0.000451882
1660,@BreitbartNews,61,0.000451882,61,0.000451882
1878,Washington,61,0.000451882,61,0.000451882
2017,VOTE,61,0.000451882,61,0.000451882
2525,keep,61,0.000451882,61,0.000451882
936,history,60,0.000444474,60,0.000444474
1532,Obama,60,0.000444474,60,0.000444474
1549,running,60,0.000444474,60,0.000444474
1970,right,60,0.000444474,60,0.000444474
5609,Get,60,0.000444474,60,0.000444474
63,York,59,0.000437066,59,0.000437066
209,thousands,59,0.000437066,59,0.000437066
568,strong,59,0.000437066,59,0.000437066
724,"Also,",59,0.000437066,59,0.000437066
742,Court,59,0.000437066,59,0.000437066
940,also,59,0.000437066,59,0.000437066
1691,its,59,0.000437066,59,0.000437066
468,some,58,0.000429658,58,0.000429658
483,wants,58,0.000429658,58,0.000429658
1279,Bernie,58,0.000429658,58,0.000429658
1979,it.,58,0.000429658,58,0.000429658
349,There,57,0.00042225,57,0.00042225
359,then,57,0.00042225,57,0.00042225
366,Senator,57,0.00042225,57,0.00042225
718,Crazy,57,0.00042225,57,0.00042225
821,2020,57,0.00042225,57,0.00042225
1802,say,57,0.00042225,57,0.00042225
1260,You,56,0.000414842,56,0.000414842
1395,trying,56,0.000414842,56,0.000414842
1397,wonderful,56,0.000414842,56,0.000414842
1580,work,56,0.000414842,56,0.000414842
1637,massive,56,0.000414842,56,0.000414842
3126,Country.,56,0.000414842,56,0.000414842
1199,Why,55,0.000407435,55,0.000407435
702,first,54,0.000400027,54,0.000400027
2022,others,54,0.000400027,54,0.000400027
2106,tremendous,54,0.000400027,54,0.000400027
5742,Georgia,54,0.000400027,54,0.000400027
378,itâ€™s,53,0.000392619,53,0.000392619
631,order,53,0.000392619,53,0.000392619
1811,love,53,0.000392619,53,0.000392619
2025,Not,53,0.000392619,53,0.000392619
2885,My,53,0.000392619,53,0.000392619
5708,People,53,0.000392619,53,0.000392619
