id,x,y,cluster_id,text,year,
1.23504E+18,23.30129623,-63.71586227,0,THANK YOU MINNESOTA! #KAG2020 https://t.co/gX4qWdbJHF,2020,"rgb(150,150,150)"
1.23504E+18,23.28323555,-63.64138031,0,THANK YOU ARKANSAS! #KAG2020 https://t.co/X3XqvrVZoe,2020,"rgb(150,150,150)"
1.23508E+18,23.11071014,-63.60983658,0,THANK YOU UTAH! #KAG2020 https://t.co/LrCvXgmp3X,2020,"rgb(150,150,150)"
1.23508E+18,22.96347809,-63.67367935,0,THANK YOU CALIFORNIA! #KAG2020 https://t.co/7BrkAKYWU0,2020,"rgb(150,150,150)"
1.23567E+18,36.02250671,-66.64551544,0,Thank you Nan! https://t.co/PZoxkvMqZq,2020,"rgb(150,150,150)"
1.23577E+18,33.596138,-71.31950378,0,Thank you Audrey! https://t.co/2bhoVVoV6r,2020,"rgb(150,150,150)"
1.2358E+18,37.90914917,-64.70935822,0,Thank you! https://t.co/xfB5qwgZzy,2020,"rgb(150,150,150)"
1.23608E+18,29.01614952,-48.41978073,0,Congratulations to @FoxNews!  https://t.co/ED5t5eENE5,2020,"rgb(150,150,150)"
1.23652E+18,37.95546722,-61.9533577,0,Thank you @SenatorTimScott! https://t.co/7Sp0mj1AL0,2020,"rgb(150,150,150)"
1.23742E+18,37.89027023,-61.76583481,0,Thank you @SenateGOP! https://t.co/XysOvXbTMF,2020,"rgb(150,150,150)"
1.23754E+18,23.3077755,-63.689888,0,THANK YOU MISSISSIPPI! #KAG2020 https://t.co/r4DRnssHya,2020,"rgb(150,150,150)"
1.23754E+18,23.23846245,-63.63582611,0,THANK YOU MISSOURI! #KAG2020 https://t.co/FH7NcIPqDp,2020,"rgb(150,150,150)"
1.23755E+18,23.34584618,-63.69643784,0,THANK YOU MICHIGAN! #KAG2020 https://t.co/9Ibuma0JfP,2020,"rgb(150,150,150)"
1.23758E+18,23.12265396,-61.60374832,0,THANK YOU NORTH DAKOTA! #KAG2020 https://t.co/fOPyY03iyh,2020,"rgb(150,150,150)"
1.23758E+18,22.79585266,-63.69086456,0,THANK YOU WASHINGTON! #KAG2020 https://t.co/h04VbW71TH,2020,"rgb(150,150,150)"
1.23761E+18,23.14200783,-63.4292984,0,THANK YOU IDAHO! #KAG2020 https://t.co/aNhwiYsx96,2020,"rgb(150,150,150)"
1.2392E+18,38.31068802,-65.94641876,0,Thank you! https://t.co/fVGdP2Vxt8,2020,"rgb(150,150,150)"
1.2392E+18,30.13581657,-36.91091156,0,"Thank you Sara. Keep writing, great talent! https://t.co/ZMYHzicBcR",2020,"rgb(150,150,150)"
1.24038E+18,40.30897141,-62.21324539,0,Thank you @HerschelWalker! https://t.co/qBXOa4eJzY,2020,"rgb(150,150,150)"
1.24076E+18,40.68120956,-63.42667389,0,THANK YOU! #ThankATrucker https://t.co/VgzJ2LXXpi,2020,"rgb(150,150,150)"
1.24156E+18,37.79372406,-65.44174194,0,Thank you! https://t.co/RBqIR7wtPt,2020,"rgb(150,150,150)"
1.24157E+18,39.55792236,-36.23373413,0,"Thank you David, so true! https://t.co/dZNmUAVBO2",2020,"rgb(150,150,150)"
1.24157E+18,31.87390518,-57.83097839,0,Thank you @JennPellegrino @OANN https://t.co/5TLc8LpYIP,2020,"rgb(150,150,150)"
1.2424E+18,34.44749451,-69.80058289,0,Thank you Tony! https://t.co/U5XxzeQzXJ,2020,"rgb(150,150,150)"
1.24241E+18,34.36564636,-71.58846283,0,Thank you Kirstie! https://t.co/EHQHglKDCN,2020,"rgb(150,150,150)"
1.24376E+18,33.35663223,-69.80041504,0,Thank you James! https://t.co/Ku1RMHmeVK,2020,"rgb(150,150,150)"
1.245E+18,35.07717514,-68.9180603,0,Thank you Mike! https://t.co/RqiQ6YdQkf,2020,"rgb(150,150,150)"
1.24509E+18,29.79211426,-37.04096603,0,"Great work @AtlasAirWW, thank you! https://t.co/90X4lRRHdM",2020,"rgb(150,150,150)"
1.24643E+18,33.40867233,-70.216362,0,Thank you Cory! https://t.co/Nx1QykXAE8,2020,"rgb(150,150,150)"
1.24684E+18,34.41666031,-70.6750412,0,Thank you Gayle! https://t.co/DN4DDoHPtu,2020,"rgb(150,150,150)"
1.24847E+18,33.91390228,-71.34347534,0,Thank you Erin! https://t.co/m8HRlK6VCY,2020,"rgb(150,150,150)"
1.2495E+18,37.79544067,-65.04483795,0,Thank you! https://t.co/z8dgzQxkVC,2020,"rgb(150,150,150)"
1.2495E+18,29.02715683,-66.70253754,0,Thank you Paris! https://t.co/hDUppWgIXA,2020,"rgb(150,150,150)"
1.25097E+18,24.96718788,-57.30062485,0,THANK GOD FOR TRUCKERS!  https://t.co/PNLPAkhNUK,2020,"rgb(150,150,150)"
1.25156E+18,29.6919899,-37.22961426,0,"Thank you @Honeywell, great job! https://t.co/8MfzxtvDPK",2020,"rgb(150,150,150)"
1.25156E+18,29.25342178,-37.00996017,0,"Great news, thank you! https://t.co/hp4TCZQW9r",2020,"rgb(150,150,150)"
1.25196E+18,32.53083038,-31.84876823,0,Thank you to my boy! https://t.co/GAFe1AdZpt,2020,"rgb(150,150,150)"
1.25515E+18,28.34705734,-55.3850708,0,Thank you @BlueAngels and @AFThunderbirds! #AmericaStrong https://t.co/oZyFJBT90h https://t.co/bq0VOKYsmd,2020,"rgb(150,150,150)"
1.25533E+18,32.63905334,-70.34366608,0,THANK YOU MICHAEL! @bittyandbeaus https://t.co/KVXVcdO79E,2020,"rgb(150,150,150)"
1.25551E+18,57.60505295,-65.29064178,0,THANK YOU @MarkLevinShow!  https://t.co/GJSNM0LUQH,2020,"rgb(150,150,150)"
1.25659E+18,38.86560822,-65.82402039,0,Thank you! https://t.co/LSGA6Tg0zk,2020,"rgb(150,150,150)"
1.25663E+18,32.08624649,-69.97399139,0,Thank you Michael. You also! https://t.co/VFi6Nhj3zG,2020,"rgb(150,150,150)"
1.2567E+18,36.710495,-36.66049194,0,Very cool. Please thank him! https://t.co/7nc79fCFip,2020,"rgb(150,150,150)"
1.25693E+18,38.46717453,-65.12866974,0,Thank you! https://t.co/s3aLt9qTVZ,2020,"rgb(150,150,150)"
1.25693E+18,37.94808578,-65.66648102,0,Thank you! https://t.co/GAFe1AdZpt,2020,"rgb(150,150,150)"
1.25705E+18,32.55366516,-37.43218231,0,Thank you Ryan. Working hard! https://t.co/ZnYgTI3Qux,2020,"rgb(150,150,150)"
1.2575E+18,40.47966003,-66.28878021,0,THANK YOU #USNSComfort! https://t.co/Hp89n5xGIK,2020,"rgb(150,150,150)"
1.25787E+18,39.0223732,-62.80625153,0,Thank you @Honeywell! https://t.co/4jH6NF63XI,2020,"rgb(150,150,150)"
1.25945E+18,35.07685852,-68.91792297,0,Thank you Mike! https://t.co/GMfNEAlW8M,2020,"rgb(150,150,150)"
1.2595E+18,33.93693924,-32.1719017,0,Thank you to Eli Lake! https://t.co/PuAzimoIbs,2020,"rgb(150,150,150)"
1.25954E+18,39.00865555,-64.51701355,0,Thank you! https://t.co/zh5YuuR8jN,2020,"rgb(150,150,150)"
1.25967E+18,38.49465179,-65.14618683,0,Thank you! https://t.co/VxWLG5c3iI,2020,"rgb(150,150,150)"
1.2606E+18,32.59581757,-37.45904922,0,"THANK YOU, WORKING HARD! #MAGA https://t.co/NytV20gopi",2020,"rgb(150,150,150)"
1.26112E+18,27.56829071,-36.14341736,0,Thank you. My great honor! https://t.co/lhV5VjJEoT,2020,"rgb(150,150,150)"
1.26179E+18,37.93901062,-64.63256836,0,Thank you! https://t.co/oARCqHpblU,2020,"rgb(150,150,150)"
1.26282E+18,37.89047241,-61.76605225,0,THANK YOU @SenateGOP! https://t.co/wbgqxD6TPR,2020,"rgb(150,150,150)"
1.26295E+18,33.59750366,-71.26843262,0,Thank you Emily! https://t.co/Owc3mV9HP7,2020,"rgb(150,150,150)"
1.26296E+18,37.73431015,-65.32759094,0,Thank you! https://t.co/OGJgaL6A7v,2020,"rgb(150,150,150)"
1.26364E+18,30.81933784,-58.57450867,0,THANK YOU! #MAGA https://t.co/hqyNTNoVHi,2020,"rgb(150,150,150)"
1.2637E+18,38.38562012,-64.32521057,0,Thank you! https://t.co/uMMf9xXQLZ,2020,"rgb(150,150,150)"
1.26392E+18,32.03372955,-53.51548386,0,THANK YOU! #RollingToRemember https://t.co/JswZQq3cKO https://t.co/7zZUZXOojz,2020,"rgb(150,150,150)"
1.26434E+18,39.33168793,-65.23486328,0,Thank you! https://t.co/8PjR0aswHY,2020,"rgb(150,150,150)"
1.26439E+18,33.92486191,-68.86210632,0,Thank you Herschel! https://t.co/JbPC3TxhPo,2020,"rgb(150,150,150)"
1.26471E+18,32.35898209,-29.9857769,0,Thank you. We love our boaters! https://t.co/AhjmAOKfDh,2020,"rgb(150,150,150)"
1.26584E+18,34.15478897,-68.82239532,0,Thank you Lou! https://t.co/edjugpzH0i,2020,"rgb(150,150,150)"
1.26752E+18,39.78964996,-33.90335464,0,100% Correct. Thank you Tom! https://t.co/axdLX7kGNn,2020,"rgb(150,150,150)"
1.26767E+18,35.05582809,-63.64404297,0,Thank you Mark! https://t.co/63rw0z8AYQ,2020,"rgb(150,150,150)"
1.26849E+18,36.19241333,-70.39227295,0,Thank you Matt! https://t.co/2PT6IFNBAc,2020,"rgb(150,150,150)"
1.26907E+18,28.35300827,-58.51983261,0,THANK YOU MAINE! #MAGA https://t.co/5De7t64zRj,2020,"rgb(150,150,150)"
1.27052E+18,27.71598625,-36.22772217,0,"Thank you George, great honor! https://t.co/1WzkcvLpnR",2020,"rgb(150,150,150)"
1.27176E+18,35.97925186,-68.02404022,0,Thank you Jack! https://t.co/i3h7Yd8nLG,2020,"rgb(150,150,150)"
1.27216E+18,33.15270996,-69.70165253,0,Thank you Philip! https://t.co/jGspqbtSgL,2020,"rgb(150,150,150)"
1.27883E+18,33.05332947,-69.42541504,0,Thank you George! https://t.co/dGGdTTMrhy,2020,"rgb(150,150,150)"
1.27947E+18,32.78517914,-32.3153801,0,Thank you my friend. America loves India! https://t.co/mlvJ51l8XJ,2020,"rgb(150,150,150)"
1.28107E+18,31.99883652,-58.99816513,0,THANK YOU! #MAGA2020  https://t.co/Eecj1gGGHS,2020,"rgb(150,150,150)"
1.28725E+18,33.92444611,-70.05028534,0,Thank you Jon! https://t.co/vWVriDTnDb,2020,"rgb(150,150,150)"
1.28986E+18,19.61535072,-58.78412247,0,I love Colorado! https://t.co/RptiR8wybe,2020,"rgb(150,150,150)"
1.29172E+18,39.00712204,-64.49140167,0,Thank you! https://t.co/uEytELtQQj,2020,"rgb(150,150,150)"
1.29172E+18,39.16892242,-65.7164917,0,Thank you! https://t.co/OS9T8cjDy0,2020,"rgb(150,150,150)"
1.29424E+18,39.14955521,-64.53405762,0,Thank you! https://t.co/62wJYhQtSL,2020,"rgb(150,150,150)"
1.29424E+18,34.09457779,-70.92819214,0,Thank you Debbie! https://t.co/Mjvp1zQATH,2020,"rgb(150,150,150)"
1.29473E+18,39.33124161,-65.39186096,0,Thank you! https://t.co/MmjxbNStq1,2020,"rgb(150,150,150)"
1.29507E+18,33.35802841,-69.80046082,0,Thank you James! https://t.co/cKiKlAXHqI,2020,"rgb(150,150,150)"
1.29507E+18,29.43657494,-67.38299561,0,Thank you Franklin! https://t.co/ZwpwcS2k2B,2020,"rgb(150,150,150)"
1.29642E+18,37.80488586,-37.69385529,0,Thank you so much! https://t.co/ZERpdwUumf,2020,"rgb(150,150,150)"
1.29646E+18,30.81929398,-58.57507324,0,THANK YOU! #MAGA https://t.co/kgLSsAgZmR,2020,"rgb(150,150,150)"
1.29647E+18,29.93611908,-58.39286423,0,THANK YOU DONNA! #MAGA https://t.co/egyshW7bOk,2020,"rgb(150,150,150)"
1.2965E+18,30.81926537,-58.57493591,0,THANK YOU! #MAGA https://t.co/2iE2T0ZVwD,2020,"rgb(150,150,150)"
1.2965E+18,30.81741714,-58.5740509,0,THANK YOU! #MAGA https://t.co/ZaN6exaryD,2020,"rgb(150,150,150)"
1.29658E+18,27.89475822,-59.18765259,0,THANK YOU PENNSYLVANIA! #MAGA https://t.co/5BfdRyDD6a,2020,"rgb(150,150,150)"
1.29811E+18,37.24456024,-63.58053207,0,THANK YOU #RNC2020! https://t.co/SQXxesAU0i,2020,"rgb(150,150,150)"
1.29943E+18,30.81755638,-58.57382202,0,Thank you! #MAGA https://t.co/uuay66U5oI,2020,"rgb(150,150,150)"
1.2995E+18,23.45446587,-67.40192413,0,THANK YOU NEW HAMPSHIRE!  https://t.co/mUFKbq79Yu,2020,"rgb(150,150,150)"
1.29968E+18,38.78328705,-64.52510071,0,Thank you! https://t.co/4ciDcO151e,2020,"rgb(150,150,150)"
1.30002E+18,31.46883774,-70.42863464,0,Thank you Lisa. Well stated!!! https://t.co/k0urkflQdx,2020,"rgb(150,150,150)"
1.30125E+18,23.27983856,-60.50515366,0,THANK YOU NORTH CAROLINA! https://t.co/LhqOINkZFS,2020,"rgb(150,150,150)"
1.30132E+18,33.87003326,-71.11520386,0,Thank you Michele! https://t.co/0Z7KzA9lb8,2020,"rgb(150,150,150)"
1.30164E+18,39.32197952,-64.97190094,0,Thank you!!! https://t.co/YN266XHWfM,2020,"rgb(150,150,150)"
1.30169E+18,27.37016106,-59.3665657,0,"THANK YOU LATROBE, PENNSYLVANIA! #MAGA  https://t.co/vKyOTCesH2",2020,"rgb(150,150,150)"
1.30196E+18,30.81752205,-58.57304764,0,THANK YOU! #MAGA https://t.co/1vMZMmm6KZ,2020,"rgb(150,150,150)"
1.30209E+18,35.05469513,-63.64196777,0,Thank you Mark! https://t.co/pLpJBFnyNz,2020,"rgb(150,150,150)"
1.30234E+18,37.85783768,-65.59146881,0,Thank you! https://t.co/TgVkWA7irF,2020,"rgb(150,150,150)"
1.30295E+18,39.1736145,-65.70639801,0,Thank you! https://t.co/IFOflRdk4q,2020,"rgb(150,150,150)"
1.3033E+18,38.27965927,-64.41959381,0,Thank you! https://t.co/HXton857CF,2020,"rgb(150,150,150)"
1.3033E+18,33.71172714,-71.45503998,0,Thank you Natalie! https://t.co/YVCZqo256D,2020,"rgb(150,150,150)"
1.30343E+18,25.96027565,-62.84431458,0,"Thank you Jupiter, Florida! https://t.co/B4vcal8lOF",2020,"rgb(150,150,150)"
1.30353E+18,23.71427727,-60.29876709,0,"Thank you Winston-Salem, North Carolina! #MAGA https://t.co/VJkBTfAGjg",2020,"rgb(150,150,150)"
1.30368E+18,38.70641327,-64.35240936,0,Thank you! https://t.co/S2kgsPh77l,2020,"rgb(150,150,150)"
1.30368E+18,35.05517578,-63.6442337,0,Thank you Mark! https://t.co/O5fN3fSOmk,2020,"rgb(150,150,150)"
1.30388E+18,40.58638,-64.64457703,0,Thank you @LouDobbs! https://t.co/YIjrRTlSgJ,2020,"rgb(150,150,150)"
1.30388E+18,30.58654976,-57.11363983,0,Thank you @LizMacDonaldFOX &amp; @KristinBTate! https://t.co/26Eb9CsaUA,2020,"rgb(150,150,150)"
1.30422E+18,28.31001282,-59.17525101,0,THANK YOU MICHIGAN! #MAGA https://t.co/K08pLLkoGT,2020,"rgb(150,150,150)"
1.30464E+18,38.21103668,-64.43321991,0,Thank you! https://t.co/1j4qqQQ7eL,2020,"rgb(150,150,150)"
1.30491E+18,28.80846596,-59.20733643,0,Thank you IDAHO! #MAGA https://t.co/lsFRvHcyyY,2020,"rgb(150,150,150)"
1.30491E+18,30.81803322,-58.57402802,0,THANK YOU! #MAGA https://t.co/OYbNhJdAbJ,2020,"rgb(150,150,150)"
1.30492E+18,30.92638016,-59.66703415,0,"Love it, thank you! #MAGA https://t.co/tchutSE163",2020,"rgb(150,150,150)"
1.30492E+18,30.61823845,-59.36332321,0,WOW — THANK YOU! #MAGA https://t.co/sj87HGIX00,2020,"rgb(150,150,150)"
1.30499E+18,28.75370979,-59.18429565,0,THANK YOU NEVADA! #MAGA  https://t.co/E98NXRPllj,2020,"rgb(150,150,150)"
1.30549E+18,46.45161438,-19.59871101,0,I do! https://t.co/H9Eghnqpuy,2020,"rgb(150,150,150)"
1.30705E+18,30.81926918,-58.57495117,0,THANK YOU! #MAGA https://t.co/F9jn2gNMBl,2020,"rgb(150,150,150)"
1.30732E+18,32.43827438,-69.21899414,0,Thank you Harry! https://t.co/vu7aASOYrX,2020,"rgb(150,150,150)"
1.30749E+18,23.23863411,-60.22899246,0,THANK YOU NORTH CAROLINA! https://t.co/WwzdPhDkAZ https://t.co/RPGV0fuMwz,2020,"rgb(150,150,150)"
1.30766E+18,48.31344986,-31.66330338,0,No thanks! https://t.co/wNtwLKYDmY,2020,"rgb(150,150,150)"
1.30767E+18,38.67108536,-65.95048523,0,Thank you! https://t.co/hlPXpuYyCh,2020,"rgb(150,150,150)"
1.30812E+18,30.81929588,-58.57458496,0,THANK YOU! #MAGA https://t.co/h2NXX3baSB,2020,"rgb(150,150,150)"
1.30821E+18,28.31503296,-59.18081665,0,THANK YOU OHIO! #MAGA  https://t.co/oXPNyiXuW2,2020,"rgb(150,150,150)"
1.30824E+18,35.68037415,-61.42385864,0,THANK YOU @RSBNetwork! https://t.co/djlzOdTTXc,2020,"rgb(150,150,150)"
1.30929E+18,34.43659592,-30.00639915,0,Thank you. United We Stand! https://t.co/nVm2mqRVlT,2020,"rgb(150,150,150)"
1.30932E+18,28.1774826,-57.4147644,0,THANK YOU FLORIDA! #MAGA  https://t.co/gsFSghkmdM https://t.co/jwksiCOm1H,2020,"rgb(150,150,150)"
1.30968E+18,28.45621681,-59.06362534,0,THANK YOU VIRGINIA! #MAGA  https://t.co/py3lLzBjPY,2020,"rgb(150,150,150)"
1.31002E+18,26.95392418,-66.34898376,0,THANK YOU PENNSYLVANIA! https://t.co/uQwRIKTPFN,2020,"rgb(150,150,150)"
1.31077E+18,40.67404556,-63.34366226,0,Thank you #Truckers4Trump!  https://t.co/leBrV3wo0J,2020,"rgb(150,150,150)"
1.31138E+18,31.93829346,-68.97190094,0,Thank you Chuck and Harry! https://t.co/kKQOKbNEtk,2020,"rgb(150,150,150)"
1.31139E+18,34.10940552,-67.68235779,0,Thank you Ari! https://t.co/ghPg3w2jmc,2020,"rgb(150,150,150)"
1.31139E+18,38.02685547,-64.56625366,0,Thank you! https://t.co/KVayfCydRd,2020,"rgb(150,150,150)"
1.31149E+18,28.63222694,-64.82262421,0,"Thank you Duluth, Minnesota!  https://t.co/OY9Ki05WHb",2020,"rgb(150,150,150)"
1.3115E+18,33.64151764,-69.57002258,0,Thank you Paul! https://t.co/aAk1sfww0d,2020,"rgb(150,150,150)"
1.31151E+18,40.30926895,-62.21276855,0,Thank you @HerschelWalker!  https://t.co/XjlYe8x1Ay,2020,"rgb(150,150,150)"
