id,x,y,cluster_id,text,year,clusterColor,,,
8.20E+17,16.53846359,4.730237007,0,Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,2017,"rgb(0, 14, 137)",,,
8.20E+17,6.597686291,-45.52568054,0,"Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!",2017,"rgb(0, 14, 137)",,,
8.21E+17,32.6438179,6.930284977,0,"will only get higher. Car companies and others, if they want to do business in our country, have to start making things here again. WIN!",2017,"rgb(0, 14, 137)",,,
8.21E+17,26.02371597,-5.374752522,0,"For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!",2017,"rgb(0, 14, 137)",,,
8.21E+17,32.97608566,-12.1166296,0,"""Thank you to Bob Woodward who said, """"That is a garbage document...it never should have been presented...Trump's right to be upset (angry)...""",2017,"rgb(0, 14, 137)",,,
8.21E+17,30.29509735,-20.23286057,0,"""about that...Those Intelligence chiefs made a mistake here, &amp, when people make mistakes, they should APOLOGIZE."""" Media should also apologize""",2017,"rgb(0, 14, 137)",,,
8.21E+17,28.00164986,-27.45508194,0,"""""""@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency."""" Very dishonest media!""",2017,"rgb(0, 14, 137)",,,
8.21E+17,-8.548623085,-14.87780762,0,"At 9:00 P.M. @CNN, of all places, is doing a Special Report on my daughter, Ivanka. Considering it is CNN, can't imagine it will be great!",2017,"rgb(0, 14, 137)",,,
8.21E+17,0.611993551,-5.992690086,0,"People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday, Friday and Saturday!",2017,"rgb(0, 14, 137)",,,
8.21E+17,39.82133102,-21.10685921,0,"The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.",2017,"rgb(0, 14, 137)",,,
8.21E+17,12.47411633,1.408832669,0,"""country and with the massive cost reductions I have negotiated on military purchases and more, I believe the people are seeing """"big stuff.""""""",2017,"rgb(0, 14, 137)",,,
8.21E+17,33.56738281,-13.74144459,0,"""""""thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president."""" Sound familiar! WP""",2017,"rgb(0, 14, 137)",,,
8.22E+17,-5.474969387,45.11222458,0,Will be interviewed by @ainsleyearhardt on @foxandfriends - Enjoy!,2017,"rgb(0, 14, 137)",,,
8.22E+17,23.46790886,-27.11520386,0,"to the U.S., but had nothing to do with TRUMP, is more FAKE NEWS. Ask top CEO's of those companies for real facts. Came back because of me!",2017,"rgb(0, 14, 137)",,,
8.22E+17,-0.336205184,-23.21696854,0,No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!,2017,"rgb(0, 14, 137)",,,
8.22E+17,-0.360364705,27.41168976,0,"Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..",2017,"rgb(0, 14, 137)",,,
8.22E+17,34.42892456,0.79444778,0,"the American people. I have no doubt that we will, together, MAKE AMERICA GREAT AGAIN!",2017,"rgb(0, 14, 137)",,,
8.22E+17,-32.38663101,24.31363106,0,"Thank you for joining us at the Lincoln Memorial tonight- a very special evening! Together, we are going to MAKE AM... https://t.co/OSxa3BamHs",2017,"rgb(0, 14, 137)",,,
8.22E+17,18.62215805,29.99881554,0,It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,2017,"rgb(0, 14, 137)",,,
8.23E+17,33.83042145,15.14507198,0,"Today we are not merely transferring power from one Administration to another, or from one party to another â but we are transferring...",2017,"rgb(0, 14, 137)",,,
8.23E+17,12.36056042,-33.46544266,0,"What truly matters is not which party controls our government, but whether our government is controlled by the people.",2017,"rgb(0, 14, 137)",,,
8.23E+17,18.01067352,26.39271736,0,"The forgotten men and women of our country will be forgotten no longer. From this moment on, itâs going to be #AmericaFirstðºð¸",2017,"rgb(0, 14, 137)",,,
8.23E+17,23.95441818,25.01705933,0,We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,2017,"rgb(0, 14, 137)",,,
8.23E+17,40.46113205,0.829733372,0,It is time to remember that...https://t.co/ZKyOiOor62,2017,"rgb(0, 14, 137)",,,
8.23E+17,39.12064743,-20.11814499,0,Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.,2017,"rgb(0, 14, 137)",,,
8.23E+17,15.54283333,-11.4797678,0,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",2017,"rgb(0, 14, 137)",,,
8.24E+17,16.59876633,6.86188364,0,"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and....",2017,"rgb(0, 14, 137)",,,
8.24E+17,16.51125526,6.881519318,0,"even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!",2017,"rgb(0, 14, 137)",,,
8.24E+17,-3.843514204,38.07765961,0,I will be making my Supreme Court pick on Thursday of next week.Thank you!,2017,"rgb(0, 14, 137)",,,
8.25E+17,22.8295002,10.48978043,0,"of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting.",2017,"rgb(0, 14, 137)",,,
8.25E+17,23.76370049,4.166214466,0,"Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3,000,000 votes were illegal. We must do better!",2017,"rgb(0, 14, 137)",,,
8.25E+17,4.429391861,-3.906258583,0,"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp, little help on the very weak border must change, NOW!",2017,"rgb(0, 14, 137)",,,
8.25E+17,-25.44190598,26.70072937,0,The #MarchForLife is so important. To all of you marching --- you have my full support!,2017,"rgb(0, 14, 137)",,,
8.25E+17,-11.548316,35.85360718,0,.@VP Mike Pence will be speaking at today's #MarchForLife -- You have our full support! https://t.co/1jb53SEGV4,2017,"rgb(0, 14, 137)",,,
8.25E+17,30.5513916,23.00746918,0,I promise that our administration will ALWAYS have your back. We will ALWAYS be with you! https://t.co/D0aOWhOH4X,2017,"rgb(0, 14, 137)",,,
8.25E+17,6.109098434,-29.71328735,0,Thr coverage about me in the @nytimes and the @washingtonpost gas been so false and angry that the times actually apologized to its.....,2017,"rgb(0, 14, 137)",,,
8.25E+17,25.89873314,-6.025453568,0,"...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course, and never will. DISHONEST",2017,"rgb(0, 14, 137)",,,
8.26E+17,16.15539932,3.405477524,0,Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!,2017,"rgb(0, 14, 137)",,,
8.26E+17,-3.74963212,-39.18392181,0,"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!",2017,"rgb(0, 14, 137)",,,
8.26E+17,19.48269653,-0.068169929,0,Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!,2017,"rgb(0, 14, 137)",,,
8.26E+17,-0.777714133,-12.9765625,0,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,2017,"rgb(0, 14, 137)",,,
8.26E+17,-0.822012722,-12.93080807,0,"""If the ban were announced with a one week notice, the """"bad"""" would rush into our country during that week. A lot of bad """"dudes"""" out there!""",2017,"rgb(0, 14, 137)",,,
8.26E+17,-3.615845442,38.16936493,0,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),2017,"rgb(0, 14, 137)",,,
8.26E+17,-0.108954675,1.118398547,0,"The American dream is back. Weâre going to create an environment for small business like we havenât had in many, ma... https://t.co/Bh7SrNEgz1",2017,"rgb(0, 14, 137)",,,
8.26E+17,37.81496811,8.756320953,0,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,2017,"rgb(0, 14, 137)",,,
8.26E+17,17.99783707,1.226341248,0,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,2017,"rgb(0, 14, 137)",,,
8.27E+17,-0.191124439,26.74829102,0,Getting ready to deliver a VERY IMPORTANT DECISION!  8:00 P.M.,2017,"rgb(0, 14, 137)",,,
8.27E+17,39.34305954,-2.298136473,0,"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!",2017,"rgb(0, 14, 137)",,,
8.27E+17,37.91073608,-10.25220394,0,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,2017,"rgb(0, 14, 137)",,,
8.27E+17,7.390654564,-9.39385128,0,Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,2017,"rgb(0, 14, 137)",,,
8.27E+17,34.58327484,-13.52454281,0,"""Iran is playing with fire - they don't appreciate how """"kind"""" President Obama was to them. Not me!""",2017,"rgb(0, 14, 137)",,,
8.28E+17,17.97755241,3.02509141,0,Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,2017,"rgb(0, 14, 137)",,,
8.28E+17,21.35276985,-3.017761946,0,"When a country is no longer able to say who can, and who cannot , come in &amp, out, especially for reasons of safety &amp,.security - big trouble!",2017,"rgb(0, 14, 137)",,,
8.28E+17,6.571681499,-7.222388268,0,"Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death &amp, destruction!",2017,"rgb(0, 14, 137)",,,
8.28E+17,8.370259285,-11.28817177,0,"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!",2017,"rgb(0, 14, 137)",,,
8.28E+17,18.13340759,-1.530442834,0,"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?",2017,"rgb(0, 14, 137)",,,
8.28E+17,17.83059883,-1.869576931,0,"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision",2017,"rgb(0, 14, 137)",,,
8.28E+17,17.25535202,-3.504577637,0,The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!,2017,"rgb(0, 14, 137)",,,
8.28E+17,18.13606453,-1.650037169,0,Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,2017,"rgb(0, 14, 137)",,,
8.28E+17,16.04344559,-2.310961008,0,I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!,2017,"rgb(0, 14, 137)",,,
8.28E+17,-34.78736496,-7.623605728,0,Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!,2017,"rgb(0, 14, 137)",,,
8.29E+17,19.31192017,-11.71738625,0,"The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories &amp, sources!",2017,"rgb(0, 14, 137)",,,
8.29E+17,4.694829464,-28.5951767,0,The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,2017,"rgb(0, 14, 137)",,,
8.29E+17,41.69597244,-10.16156006,0,"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1in terror, no problem!",2017,"rgb(0, 14, 137)",,,
8.29E+17,41.69551849,-10.16320419,0,"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!",2017,"rgb(0, 14, 137)",,,
8.29E+17,36.32543182,-0.856788158,0,"If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!",2017,"rgb(0, 14, 137)",,,
8.29E+17,18.72228241,20.54065132,0,"I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible, dangerous and wrong decision.......",2017,"rgb(0, 14, 137)",,,
8.29E+17,29.18069649,-7.413551331,0,My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!,2017,"rgb(0, 14, 137)",,,
8.29E+17,16.64785194,-3.153870106,0,"Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!",2017,"rgb(0, 14, 137)",,,
8.30E+17,9.788728714,-35.23595428,0,Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....,2017,"rgb(0, 14, 137)",,,
8.30E+17,-3.799973965,-38.21055603,0,"...long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero..",2017,"rgb(0, 14, 137)",,,
8.30E+17,24.57981682,-3.609720945,0,"I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the.....",2017,"rgb(0, 14, 137)",,,
8.30E+17,16.6089344,2.405781984,0,"...design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!",2017,"rgb(0, 14, 137)",,,
8.31E+17,29.19914246,-7.253351212,0,"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!",2017,"rgb(0, 14, 137)",,,
8.31E+17,31.14567757,-14.05211735,0,I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!,2017,"rgb(0, 14, 137)",,,
8.32E+17,29.11876297,-33.31802368,0,The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?,2017,"rgb(0, 14, 137)",,,
8.32E+17,32.6653595,-36.01784897,0,The spotlight has finally been put on the low-life leakers! They will be caught!,2017,"rgb(0, 14, 137)",,,
8.32E+17,23.94255447,-32.22034454,0,"""FAKE NEWS media, which makes up stories and """"sources,"""" is far more effective than the discredited Democrats - but they are fading fast!""",2017,"rgb(0, 14, 137)",,,
8.32E+17,21.32989502,-26.63118553,0,"The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!",2017,"rgb(0, 14, 137)",,,
8.33E+17,-12.00091362,-27.08455086,0,"General Keith Kellogg, who I have known for a long time, is very much in play for NSA - as are three others.",2017,"rgb(0, 14, 137)",,,
8.33E+17,-2.804867744,30.37623215,0,"Getting ready to leave for Melbourne, Florida. See you all soon!",2017,"rgb(0, 14, 137)",,,
