id,x,y,cluster_id,text,tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.21312E+18,11.15070629,19.82058525,3,"....and more control over Iraq, and the people of Iraq are not happy with that. It will never end well!",....and,more,control,over,"Iraq,",and,the,people,of,Iraq,are,not,happy,with,that.,It,will,never,end,well!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.21315E+18,5.324761391,-4.490067959,3,"Christopher Bedford, The Federalist Senior Editor. â€œThere is NOTHING NEW in these Emails at all thatâ€™s been discovered. Itâ€™s exactly what we knew before, which is that the White House &amp, political figures wanted to cut off aid, Trump wanted to question aid to a number of....",Christopher,"Bedford,",The,Federalist,Senior,Editor.,â€œThere,is,NOTHING,NEW,in,these,Emails,at,all,thatâ€™s,been,discovered.,Itâ€™s,exactly,what,we,knew,"before,",which,is,that,the,White,House,"&amp,",political,figures,wanted,to,cut,off,"aid,",Trump,wanted,to,question,aid,to,a,number,of....,,,,,,,,,,,,
1.21315E+18,18.11353493,13.54397869,3,"....different places that he thought were wasteful, and the career staff, as they always do, pushed back, and nade s million excuses as to why they could not possibly stop spending U.S.taxpayer money. There was a back &amp, forth over the legal arguments, &amp, the W.H. decision was....q",....different,places,that,he,thought,were,"wasteful,",and,the,career,"staff,",as,they,always,"do,",pushed,"back,",and,nade,s,million,excuses,as,to,why,they,could,not,possibly,stop,spending,U.S.taxpayer,money.,There,was,a,back,"&amp,",forth,over,the,legal,"arguments,","&amp,",the,W.H.,decision,was....q,,,,,,,,,,,
1.21315E+18,19.93290329,-0.229999736,3,"....followed, and then it was withdrawn. The Democrats argument for impeachment has not gotten stronger over the last few weeks. As Senator Josh Hawley just said, heâ€™s going to enter a Motion to Dismiss the Impeachment Trial because itâ€™s never actually been brought to trial.â€","....followed,",and,then,it,was,withdrawn.,The,Democrats,argument,for,impeachment,has,not,gotten,stronger,over,the,last,few,weeks.,As,Senator,Josh,Hawley,just,"said,",heâ€™s,going,to,enter,a,Motion,to,Dismiss,the,Impeachment,Trial,because,itâ€™s,never,actually,been,brought,to,trial.â€,,,,,,,,,,,,,,
1.21315E+18,5.324780941,-4.490168571,3,"Christopher Bedford, The Federalist Senior Editor. â€œThere is NOTHING NEW in these Emails at all thatâ€™s been discovered. Itâ€™s exactly what we knew before, which is that the White House &amp, political figures wanted to cut off aid, Trump wanted to question aid to a number of....",Christopher,"Bedford,",The,Federalist,Senior,Editor.,â€œThere,is,NOTHING,NEW,in,these,Emails,at,all,thatâ€™s,been,discovered.,Itâ€™s,exactly,what,we,knew,"before,",which,is,that,the,White,House,"&amp,",political,figures,wanted,to,cut,off,"aid,",Trump,wanted,to,question,aid,to,a,number,of....,,,,,,,,,,,,
1.21315E+18,18.10153198,13.54725266,3,"....different places that he thought were wasteful, and the career staff, as they always do, pushed back, and made a million excuses as to why they could not possibly stop spending U.S. taxpayer money. There was a back &amp, forth over the legal arguments, &amp, the W.H. decision was....",....different,places,that,he,thought,were,"wasteful,",and,the,career,"staff,",as,they,always,"do,",pushed,"back,",and,made,a,million,excuses,as,to,why,they,could,not,possibly,stop,spending,U.S.,taxpayer,money.,There,was,a,back,"&amp,",forth,over,the,legal,"arguments,","&amp,",the,W.H.,decision,was....,,,,,,,,,,
1.21315E+18,19.93290329,-0.229999736,3,"....followed, and then it was withdrawn. The Democrats argument for impeachment has not gotten stronger over the last few weeks. As Senator Josh Hawley just said, heâ€™s going to enter a Motion to Dismiss the Impeachment Trial because itâ€™s never actually been brought to trial.â€","....followed,",and,then,it,was,withdrawn.,The,Democrats,argument,for,impeachment,has,not,gotten,stronger,over,the,last,few,weeks.,As,Senator,Josh,Hawley,just,"said,",heâ€™s,going,to,enter,a,Motion,to,Dismiss,the,Impeachment,Trial,because,itâ€™s,never,actually,been,brought,to,trial.â€,,,,,,,,,,,,,,
1.21347E+18,-51.46522522,-14.30434704,4,95% Approval Rating in the Republican Party. Thank you!,95%,Approval,Rating,in,the,Republican,Party.,Thank,you!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.21359E+18,24.40587425,6.524127007,3,"As hard as I work, &amp, as successful as our Country has become with our Economy, our Military &amp, everything else, it is ashame that the Democrats make us spend so much time &amp, money on this ridiculous Impeachment Lite Hoax. I should be able to devote all of my time to the REAL USA!",As,hard,as,I,"work,","&amp,",as,successful,as,our,Country,has,become,with,our,"Economy,",our,Military,"&amp,",everything,"else,",it,is,ashame,that,the,Democrats,make,us,spend,so,much,time,"&amp,",money,on,this,ridiculous,Impeachment,Lite,Hoax.,I,should,be,able,to,devote,all,of,my,time,to,the,REAL,USA!,,,,
1.21359E+18,-7.67756319,19.33658218,7,"Iran is talking very boldly about targeting certain USA assets as revenge for our ridding the world of their terrorist leader who had just killed an American, &amp, badly wounded many others, not to mention all of the people he had killed over his lifetime, including recently....",Iran,is,talking,very,boldly,about,targeting,certain,USA,assets,as,revenge,for,our,ridding,the,world,of,their,terrorist,leader,who,had,just,killed,an,"American,","&amp,",badly,wounded,many,"others,",not,to,mention,all,of,the,people,he,had,killed,over,his,"lifetime,",including,recently....,,,,,,,,,,,,
